"","ID","Bar.Code","Item","Make","Model","Serial.Number","Description","Calibration.Date","Calibration.Equipment","Location","Responsible.Lab","Funding.Source","Project","Other.ID","Notes","Status","Cal.Report.Y.N","Picture","Picture.URL","Old.Asset.Number","OU.Asset","Asset.Type","Specification.Characteristics","Calilbration.Date","Maintenance.Date","Picture.Yes.No","Project.Equipment..Yes.No.","Class"
"40","L######","`F-00040~","F-00040","Schweitzer Engineering Laboratories","SEL-3390-A           SEL-2730M","1142970181","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00040.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"41","L######","`F-00041~","F-00041","Schweitzer Engineering Laboratories","SEL-3390-A           SEL-2730M","1142970182","9330-A Power Supply + Managed Ethernet Switch","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00041.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"42","L######","`F-00042~","F-00042","Schweitzer Engineering Laboratories","SEL-351","3152920070","Protection System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00042, SEL, SEL-351, 3152920070, Protection System.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"43","L######","`F-00043~","F-00043","Schweitzer Engineering Laboratories","SEL-351","1142970172","Protection System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00043, SEL, SEL-351, 1142970172, Protection System.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"44","L######","`F-00044~","F-00044","Schweitzer Engineering Laboratories","SEL-351","3152920071","Protection System","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00044, SEL, SEL-351, 3152920071, Protection System.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"45","L######","`F-00045~","F-00045","Schweitzer Engineering Laboratories","SEL-421","2008024285","Protection Automation Control","N/A","N/A","160D","PS Lab","","","","","Photographed in the Temp PS Lab Storage Room within the Admin Building 11/09/2016 JC","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick Power Systems Lab 170E 10-19-16/Asset Tag F-00045.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"46","L######","`F-00046~","F-00046","Telect","DSX1                56CKT","M03025355011","DSXL:PNL,56CKT,WWI/O W/Shld pins,Split WW FXC,19X4 Red LEDs Wht,23""ADPT","N/A","N/A","160D","AT Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00046, Telect, DSX1 56CKT, M03025355011, DSXL-PNL-56KT.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"47","L######","`F-00047~","F-00047","Benning","G110-22G48/40Wr-PCT","6088719","DC - DC Wandler DC - Converter","N/A","N/A","160D","SAS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00047, Benning, G110-22G48-40Wr-PCT, 6088719, DC-DC Wandler DC-Converter.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"48","L######","`F-00048~","F-00048","G.E.","UR 8LH","A8LC14014812","CT/VT 8L Phase CTs:3-1A/5A Ground CTs:1A/5A","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00048, GE, UR 8LH, A8LC14014812, CT-VT Relay.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
"49","L######","`F-00049~","F-00049","G.E.","UR 8LH","A8NC14003416","CT/VT 8L Phase CTs:3-1A/5A Ground CTs:1A/5A","N/A","N/A","160D","PS Lab","","","","","Moved into the White Tent during DEMO","","Yes","https://edisonintl-my.sharepoint.com/personal/todd_henricks_sce_com/Documents/Fenwick Inventory/Fenwick Pictures/Fenwick 160D 11-23-2016/Asset Tag F-00047, Benning, G110-22G48-40Wr-PCT, 6088719, DC-DC Wandler DC-Converter.JPG",NA,NA,NA,NA,NA,NA,NA,NA,"NA"
